nome,sigla,orgao,endereco,lat,lon,fonte,libras,selo,capacitado,itens,acess,n_itens,data,RA
Ouvidoria – RA Ceilândia,RA Ceilândia,Administração Regional da Ceilândia,Administração Regional de Ceilândia – RA IX,-15.82261711,-48.101036,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",6,2025,Ceilândia
Ouvidoria – RA Santa Maria,RA Santa Maria,Administração Regional da Santa Maria,Administração Regional de Santa Maria – RA XIII,-16.01733354,-48.01624365,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",3,2025,Santa Maria
Ouvidoria – ARÁQ,ARÁQ,Administração Regional de Água Quente,Localização aproximada a validar,-15.78377,-47.90832,aprox,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",4,2025,Plano Piloto
Ouvidoria – RA Águas Claras,RA Águas Claras,Administração Regional de Águas Claras,"Rua Manacá, Lote 02, Bloco 01, Águas Claras, DF, 71928-180",-15.8361,-48.0289,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Banheiro adaptado', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",8,2025,Águas Claras
Ouvidoria – RA Arniqueira,RA Arniqueira,Administração Regional de Arniqueiras,"SHA Conjunto 04 Lote 01, Arniqueira, DF, 71994-540",-15.8506,-48.0053,validado,Não,Sim,Sim,"['Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado']","['Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Banheiro adaptado', 'Equipe capacitada em acessibilidade']",4,2025,Arniqueira
Ouvidoria – RA Planaltina,RA Planaltina,Administração Regional de Planaltina,Administração Regional de Planaltina – RA VI,-15.6173003,-47.6514018,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Equipe capacitada em acessibilidade']",3,2025,Planaltina
Ouvidoria – RA Samambaia,RA Samambaia,Administração Regional de Samambaia,"Centro Urbano, Quadra 302, Conjunto 13, Lote 01, Samambaia Sul, DF, 72300-655",-15.8778,-48.0858,validado,Sim,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Banheiro adaptado', 'Atendimento presencial em Libras', 'Equipe capacitada em acessibilidade']",3,2025,Samambaia
Ouvidoria – RA São Sebastião,RA São Sebastião,Administração Regional de São Sebastião,"Quadra 101, Área Especial S/N, Bairro Residencial Oeste, São Sebastião, DF, 71691-001",-15.9083,-47.7719,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Equipe capacitada em acessibilidade']",2,2025,São Sebastião
Ouvidoria – RA Guará,RA Guará,Administração Regional do Guará,"SRIA II QE 25, Área Especial do CAVE, Guará II, Brasília - DF, 71025-900",-15.8228,-47.9806,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Corrimão na rampa de acesso', 'Corrimão nas escadas', 'Piso tátil', 'Piso antiderrapante', 'Equipe capacitada em acessibilidade']",6,2025,Guará
Ouvidoria – RA Lago Sul,RA Lago Sul,Administração Regional do Lago Sul,"SHIS QI 11, Área Especial Nº 01, Lago Sul, Brasília - DF, 71625-600",-15.8403,-47.8767,validado,Não,Sim,Sim,"['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade']","['Estacionamento com vaga reservada para PCD', 'Rampa de acesso', 'Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade', 'Equipe capacitada em acessibilidade']",3,2025,Lago Sul
