sigla,orgao,unidade,endereco_atual,lat_atual,lon_atual,RA_atual,consulta_osm,candidato_nome,candidato_endereco,candidato_lat,candidato_lon,candidato_RA,confianca,acao_recomendada,observacao
ARÁQ,Administração Regional de Água Quente,Ouvidoria – ARÁQ,Localização aproximada a validar,-15.78377,-47.90832,Plano Piloto,"Administração Regional de Água Quente, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
RA Águas Claras,Administração Regional de Águas Claras,Ouvidoria – RA Águas Claras,Localização aproximada na RA Águas Claras (validar sede),-15.832554975,-48.029533607229176,Águas Claras,"Administração Regional de Águas Claras, Distrito Federal, Brasil",Administração Regional de Águas Claras - RA XX,"Administração Regional de Águas Claras - RA XX, Avenida Boulevard Norte, Águas Claras, Distrito Federal, Região Centro-Oeste, 71936-750, Brasil",-15.8354240,-48.0086681,Águas Claras,media,candidato_osm_revisar_antes_de_aplicar,
RA Arniqueira,Administração Regional de Arniqueiras,Ouvidoria – RA Arniqueira,Localização aproximada na RA Arniqueira (validar sede),-15.85970689,-48.010695674828916,Arniqueira,"Administração Regional de Arniqueiras, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
RA Samambaia,Administração Regional de Samambaia,Ouvidoria – RA Samambaia,Localização aproximada na RA Samambaia (validar sede),-15.890131035,-48.14430130426806,Samambaia,"Administração Regional de Samambaia, Distrito Federal, Brasil",Administração Regional de Samambaia - RA XII,"Administração Regional de Samambaia - RA XII, Avenida Central, ADE Sul, Samambaia, Distrito Federal, Região Centro-Oeste, 72300-647, Brasil",-15.8803200,-48.0863344,Samambaia,media,candidato_osm_revisar_antes_de_aplicar,
RA São Sebastião,Administração Regional de São Sebastião,Ouvidoria – RA São Sebastião,Localização aproximada na RA São Sebastião (validar sede),-15.962617865,-47.722868491748486,São Sebastião,"Administração Regional de São Sebastião, Distrito Federal, Brasil",Administração Regional de São Sebastião- RA XIV,"Administração Regional de São Sebastião- RA XIV, Rua S Miguel, Quadra 101, Residencial Oeste, São Sebastião, Distrito Federal, Região Centro-Oeste, 71692-101, Brasil",-15.8999217,-47.7747412,São Sebastião,media,candidato_osm_revisar_antes_de_aplicar,
RA Guará,Administração Regional do Guará,Ouvidoria – RA Guará,Localização aproximada na RA Guará (validar sede),-15.83195805,-47.973422216722795,Guará,"Administração Regional do Guará, Distrito Federal, Brasil",Administração Regional do Guará - RA X,"Administração Regional do Guará - RA X, Avenida Contorno, Guará II, Guará, Distrito Federal, Região Centro-Oeste, 71050-051, Brasil",-15.8252261,-47.9756695,Guará,media,candidato_osm_revisar_antes_de_aplicar,
RA Lago Sul,Administração Regional do Lago Sul,Ouvidoria – RA Lago Sul,Localização aproximada na RA Lago Sul (validar sede),-15.85304388,-47.90100655392175,Lago Sul,"Administração Regional do Lago Sul, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
RA Núcleo Bandeirante,Administração Regional do Núcleo Bandeirante,Ouvidoria – RA Núcleo Bandeirante,Localização aproximada na RA Núcleo Bandeirante (validar sede),-15.865996415,-47.963342252166996,Núcleo Bandeirante,"Administração Regional do Núcleo Bandeirante, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
RA Plano Piloto,Administração Regional do Plano Piloto,Ouvidoria – RA Plano Piloto,Localização aproximada na RA Plano Piloto (validar sede),-15.718722934999999,-48.005162617090534,Plano Piloto,"Administração Regional do Plano Piloto, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
RA Riacho Fundo,Administração Regional do Riacho Fundo,Ouvidoria – RA Riacho Fundo,Localização aproximada na RA Riacho Fundo (validar sede),-15.89972265,-48.00350750376299,Riacho Fundo,"Administração Regional do Riacho Fundo, Distrito Federal, Brasil",,,,,,baixa,manter_aprox_para_revisao_manual,
