SIGLA;Orgao;Latitude;Longitude;Tipo_acesso;RA_atual;Endereco_atual
ADASA;Agência Reguladora de Águas e Saneamento do DF (ADASA);;;;Plano Piloto;Localização aproximada a validar
ARÁQ;Administração Regional de Água Quente;;;;Plano Piloto;Localização aproximada a validar
BRB;Banco de Brasília (BRB);;;;Plano Piloto;Localização aproximada a validar
CBMDF;Corpo de Bombeiros (CBMDF);;;;Plano Piloto;Localização aproximada a validar
CC;Casa Civil;;;;Plano Piloto;Localização aproximada a validar
CM;Casa Militar;;;;Plano Piloto;Localização aproximada a validar
DPD;Defensoria Pública do DF;;;;Plano Piloto;Localização aproximada a validar
EMATER;Empresa de Assistência Técnica e Extensão Rural do Distrito Federal (EMATER);;;;Plano Piloto;Localização aproximada a validar
Fepecs;Fundação de Ensino e Pesquisa em Ciências da Saúde (Fepecs);;;;Plano Piloto;Localização aproximada a validar
IPREV;Instituto de Previdência dos Servidores do DF (IPREV);;;;Plano Piloto;Localização aproximada a validar
JBB;Jardim Botânico de Brasília (JBB);;;;Plano Piloto;Localização aproximada a validar
NOVACAP;Companhia Urbanizadora da Nova Capital do Brasil (NOVACAP);;;;Plano Piloto;Localização aproximada a validar
PCDF;Polícia Civil (PCDF);;;;Plano Piloto;Localização aproximada a validar
PMDF;Polícia Militar (PMDF);;;;Plano Piloto;Localização aproximada a validar
PROCON;Instituto de Defesa do Consumidor do DF (PROCON);;;;Plano Piloto;Localização aproximada a validar
RA Arniqueira;Administração Regional de Arniqueiras;;;;Arniqueira;Localização aproximada na RA Arniqueira (validar sede)
RA Guará;Administração Regional do Guará;;;;Guará;Localização aproximada na RA Guará (validar sede)
RA Lago Sul;Administração Regional do Lago Sul;;;;Lago Sul;Localização aproximada na RA Lago Sul (validar sede)
RA Núcleo Bandeirante;Administração Regional do Núcleo Bandeirante;;;;Núcleo Bandeirante;Localização aproximada na RA Núcleo Bandeirante (validar sede)
RA Plano Piloto;Administração Regional do Plano Piloto;;;;Plano Piloto;Localização aproximada na RA Plano Piloto (validar sede)
RA Riacho Fundo;Administração Regional do Riacho Fundo;;;;Riacho Fundo;Localização aproximada na RA Riacho Fundo (validar sede)
RA Riacho Fundo II;Administração Regional do Riacho Fundo II;;;;Riacho Fundo II;Localização aproximada na RA Riacho Fundo II (validar sede)
RA SCIA/Estrutural;Administração Regional do SCIA;;;;SCIA;Setor Central, Área Especial 3, Estrutural
RA SIA;Administração Regional do SIA;;;;SIA;Localização aproximada na RA SIA (validar sede)
RA Samambaia;Administração Regional de Samambaia;;;;Samambaia;Localização aproximada na RA Samambaia (validar sede)
RA Sol Nascente/  Pôr do Sol;Administração Regional do Sol Nascente/Pôr do Sol;;;;Sol Nascente/  Pôr do Sol;Localização aproximada na RA Sol Nascente/  Pôr do Sol (validar sede)
RA Sudoeste/ Octogonal;Administração Regional do Sudoeste/Octogonal;;;;Sudoeste/ Octogonal;Localização aproximada na RA Sudoeste/ Octogonal (validar sede)
RA São Sebastião;Administração Regional de São Sebastião;;;;São Sebastião;Localização aproximada na RA São Sebastião (validar sede)
RA Águas Claras;Administração Regional de Águas Claras;;;;Águas Claras;Localização aproximada na RA Águas Claras (validar sede)
SEAÀC;Secretaria de Estado de Atendimento à comunidade;;;;Plano Piloto;Localização aproximada a validar
SECTI;Secretaria de Estado de Ciência, Tecnologia e Inovação;;;;Plano Piloto;Localização aproximada a validar
SEDET;Secretaria de Estado de Desenvolvimento Econômico, Trabalho e Renda;;;;Plano Piloto;Localização aproximada a validar
SEDS;Secretaria de Estado de Desenvolvimento Social;;;;Plano Piloto;Localização aproximada a validar
SEE;Secretaria de Estado de Educação;;;;Plano Piloto;Localização aproximada a validar
SEG;Secretaria de Estado de Governo;;;;Plano Piloto;Localização aproximada a validar
SEM;Secretaria de Estado de Mulher;;;;Plano Piloto;Localização aproximada a validar
SEMA;Secretaria de Estado do Meio Ambiente;;;;Plano Piloto;Localização aproximada a validar
SLU;Serviço de Limpeza Urbana do DF (SLU);;;;Plano Piloto;Localização aproximada a validar
UNDF;Universidade do Distrito Federal Prof. Jorge Amaury (UNDF);;;;Plano Piloto;Localização aproximada a validar
