Carimbo de data/hora,Órgão/Entidade ,Qual sua unidade de ouvidoria?,Qual sua Coordenação Regional de Ensino?,A ouvidoria possui alguém na equipe habilitado para fazer atendimento presencial na Linguagem Brasileira de Sinais - LIBRAS,Possui o selo do DF Libras na ouvidoria?,"O acesso, bem como a sala de atendimento da ouvidoria possui itens de acessibilidade? Marque os itens encontrados no seu órgão.","Algum integrante da equipe possui curso de capacitação na temática acessibilidade realizado entre os anos de 2020 a 2024, com duração mínima de 4 horas?","Declaro ser verdadeiras as informações aqui marcadas, estando ciente que esta CGDF poderá verificar a qualquer tempo os itens aqui assinalados."
14/10/2024 17:04:06,Secretaria de Estado de Comunicação,,,Não,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão na rampa de acesso, Corrimão nas escadas",Sim,Ciente
16/10/2024 10:23:47,"Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural",,,Não,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão nas escadas, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
21/10/2024 09:24:01,Administração Regional do SCIA,,,Sim,Sim,"Rampa de acesso, Corrimão na rampa de acesso, Piso antiderrapante, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Não,Ciente
21/10/2024 09:46:50,Companhia de Saneamento Ambiental do DF (CAESB),,,Sim,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão na rampa de acesso, Corrimão nas escadas, Piso antiderrapante, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
21/10/2024 16:14:15,Instituto de Assistência à Saúde dos Servidores do DF (INAS),,,Não,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
22/10/2024 11:18:13,Departamento de Trânsito do DF (DETRAN),,,Sim,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão nas escadas, Banheiro adaptado",Sim,Ciente
25/10/2024 09:26:34,Secretaria de Estado de Esporte e Lazer,,,Sim,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão na rampa de acesso, Corrimão nas escadas, Piso tátil, Piso antiderrapante, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
30/10/2024 12:19:53,Secretaria de Estado da Segurança Pública,,,Sim,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão nas escadas, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
31/10/2024 09:25:14,Fundação Hemocentro de Brasília (FHB),,,Não,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão na rampa de acesso, Corrimão nas escadas, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
31/10/2024 16:35:57,Secretaria de Estado de Proteção da Ordem Urbanística - DF Legal,,,Não,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão na rampa de acesso, Corrimão nas escadas, Piso tátil, Piso antiderrapante, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Não,Ciente
01/11/2024 09:49:15,Secretaria de Estado de Justiça e Cidadania,,,Sim,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Piso tátil, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
04/11/2024 10:02:29,Controladoria-Geral do Distrito Federal,,,Sim,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Corrimão na rampa de acesso, Corrimão nas escadas, Piso tátil, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
05/11/2024 00:10:22,Administração Regional da Santa Maria,,,Sim,Sim,"Estacionamento com vaga reservada para PCD, Banheiro adaptado",Sim,Ciente
06/11/2024 16:38:25,Departamento de Estrada de Rodagem do DF (DER),,,Sim,Sim,"Rampa de acesso, Estacionamento com vaga reservada para PCD, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
07/11/2024 08:12:26,Administração Regional de Planaltina,,,Não,Sim,"Estacionamento com vaga reservada para PCD, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
08/11/2024 17:35:49,"Junta Comercial, Industrial e de Serviços do Distrito Federal (JUCIS)",,,Não,Sim,"Rampa de acesso, Corrimão nas escadas, Banheiro adaptado, Sala da ouvidoria em conformidade com os padrões e normas de acessibilidade",Sim,Ciente
